laptop id,company,product,typename,inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,Price_euros
L0001,LG,Gram,Workstation,14.5,2560x1440 IPS Quad HD,Core i9-13900H,8GB,NVIDIA GeForce RTX 3050,Windows 11,1.76,2072.96
L0002,Huawei,MateBook 14 Pro,Business,14.5,2880x1800 IPS Touchscreen 2.8K,Ryzen 5 7640U,16GB,AMD Radeon 760M,Windows 11,1.39,1009.25
L0003,Dell,XPS X1,Notebook,15.6,3840x2160 Touchscreen 4K UHD,Ryzen 5 7640U,64GB,AMD Radeon 760M,Windows 11 Pro,1.57,2158.11
L0004,LG,Ultra PC Plus,2 in 1 Convertible,13.6,1920x1080 IPS Touchscreen Full HD,Core i5-1340P,8GB,Intel Iris Xe,Ubuntu 24.04,1.25,1132.64
L0005,Acer,Aspire G16,Netbook,14.5,3200x2000 Touchscreen 3.2K,Core Ultra 7 165H,48GB,Intel Iris Xe,Windows 11 Pro,1.55,2083.2
L0006,Microsoft,Surface Laptop G16,Ultrabook,14.5,3840x2160 IPS 4K UHD,Ryzen 9 7940HS,24GB,NVIDIA GeForce RTX 4080 Laptop GPU,Ubuntu 24.04,1.73,2885.01
L0007,LG,Ultra PC 14,Workstation,14,2560x1440 IPS Touchscreen Quad HD,Ryzen 7 7735HS,32GB,AMD Radeon 760M,Windows 11,1.35,1541.82
L0008,Apple,MacBook Air 13,Business,13.6,2880x1800 Touchscreen 2.8K,Apple M3 Max,48GB,Apple M3 10‑core GPU,macOS,1.24,2621.92
L0009,Apple,MacBook Air 15,Netbook,13.6,2560x1600 Touchscreen WQXGA (HD quality),Apple M3,32GB,Apple M3 10‑core GPU,macOS,1.19,1623.87
L0010,Huawei,MateBook X Pro,Gaming,17,1920x1080 IPS Touchscreen Full HD,Ryzen 7 7735HS,48GB,NVIDIA GeForce RTX 4060,Ubuntu 22.04,2.64,2264.54
L0011,Acer,Predator Helios 15,Ultrabook,14.5,3000x2000 IPS 3K,Core i7-13700H,8GB,Apple M3 10‑core GPU,Ubuntu 22.04,1.48,1323.09
L0012,HP,Pavilion Pro,Business,14.5,3000x2000 IPS Touchscreen 3K,Core i5-1340P,32GB,AMD Radeon 780M,Windows 11 Pro,1.37,1409.21
L0013,Acer,Swift Plus,2 in 1 Convertible,14.5,1920x1080 IPS Full HD,Core Ultra 9 185H,8GB,AMD Radeon 780M,Windows 11,1.41,1663.1
L0014,Microsoft,Surface Laptop Plus,Chromebook,14.5,3840x2160 Touchscreen 4K UHD,Ryzen 7 7840U,8GB,Intel Arc iGPU,Windows 11 Pro,1.43,1110.71
L0015,Huawei,MateBook D 13,Ultrabook,16,3200x2000 Touchscreen 3.2K,Core Ultra 9 185H,16GB,NVIDIA GeForce RTX 4070,Windows 11,2.06,2730.02
L0016,Samsung,Galaxy Book3 13,Ultrabook,17,3840x2160 IPS 4K UHD,Core Ultra 9 185H,16GB,NVIDIA GeForce RTX 4070,Windows 11 Pro,2.69,2610.28
L0017,MSI,Creator 7,Workstation,16,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7840U,16GB,AMD Radeon 780M,Windows 11,1.82,1280.49
L0018,Huawei,MateBook X,Ultrabook,16.1,3000x2000 IPS Touchscreen 3K,Core Ultra 5 125H,48GB,NVIDIA GeForce RTX 4050,Windows 11,2.32,2115.59
L0019,Avita,Liber V Plus,Ultrabook,13.6,2880x1800 IPS Touchscreen 2.8K,Ryzen 7 8840U,16GB,AMD Radeon 780M,Windows 11 Pro,1.22,1143.92
L0020,Samsung,Galaxy Book Pro 13,Ultrabook,16.1,3000x2000 IPS Touchscreen 3K,Core Ultra 7 155H,48GB,NVIDIA GeForce RTX 4060,Windows 11 Pro,2.53,2598.04
L0021,HP,OMEN Pro,Workstation,17,1920x1080 IPS Touchscreen Full HD,Ryzen 5 7640U,16GB,AMD Radeon 780M,Windows 11,2.25,1080.21
L0022,ASUS,ExpertBook 15,Netbook,14.5,3200x2000 IPS Touchscreen 3.2K,Ryzen 7 7735HS,32GB,NVIDIA GeForce RTX 3050,Windows 11 Pro,1.89,1673.36
L0023,HP,Pavilion 14,Chromebook,17,3200x2000 Touchscreen 3.2K,Core Ultra 7 155H,8GB,Intel Iris Xe,Windows 11 Pro,2.22,1369.25
